OaSIS Code,OaSIS Label ,Holland Codes - 1,Holland Codes - 2,Holland Codes - 3
43204.0,Operations Members of the Canadian Armed Forces,R,C,e
44100.01,Home child care providers,S,R,c
44100.02,Foster parents,S,R,e
44101.0,"Home support workers, caregivers and related occupations",S,R,
44200.0,Primary combat members of the Canadian Armed Forces,R,e,
45100.01,Student monitors,S,E,c
45100.02,Crossing guards,S,c,
50010.0,"Library, archive, museum and art gallery managers",E,C,s
50011.0,"Managers - publishing, motion pictures, broadcasting and performing arts",E,C,A
50012.0,"Recreation, sports and fitness program and service directors",E,S,
51100.0,Librarians,C,R,E
51101.01,Conservators,R,A,I
51101.02,Curators,E,I,A
51102.0,Archivists,C,I,a
51110.0,Editors,A,E,C
51111.01,"Novelists, playwrights, script writers, poets and other creative writers ",A,I,E
51111.02,Content writers (non-technical),A,I,E
51111.03,Copywriters,E,A,C
51112.0,Technical writers,A,I,C
51113.0,Journalists,A,E,I
51114.01,Translators and translator-revisers,C,I,A
51114.02,Terminologists,C,I,e
51114.03,Interpreters,S,I,A
51114.04,Sign language Interpreters,S,I,A
51120.01,"Film, radio, television and video game producers",E,A,S
51120.02,Directors,E,A,S
51120.03,Choreographers,A,S,E
51120.04,Art directors,A,E,i
51120.05,Film editors,A,E,I
51120.06,Record producers,E,A,c
51120.07,Directors of photography,E,A,R
51121.01,Conductors,A,E,S
51121.02,Composers,A,E,R
51121.03,Arrangers,A,E,R
51122.01,Musicians,A,E,s
51122.02,Singers,A,E,s
51122.03,Teachers of music or voice,S,A,E
52100.01,Library Technicians,C,S,E
52100.02,Public archive technicians,C,R,E
52110.0,Film and video camera operators,R,A,i
52111.0,Graphic arts technicians,A,R,C
52112.0,Broadcast technicians,R,C,I
52113.0,Audio and video recording technicians,R,C,i
52114.0,Announcers and other broadcasters,E,A,s
52119.01,Floor managers,E,A,s
52119.02,Key grips,E,R,c
52119.03,Gaffers and lighting technicians,R,i,
52119.04,Stunt co-ordinators and special effects technicians,R,A,
52119.05,Make-up artists,A,R,
52119.06,Costumiers,E,A,i
52119.07,Settings shop foremen and property masters,A,R,e
52120.01,Graphic designers,A,R,E
52120.02,Illustrators,A,R,E
52121.0,Interior designers and interior decorators,A,E,r
53100.01,Conservation and restoration technicians,R,A,
53100.02,Preparators and picture framers,R,A,c
53100.03,Museum interpreters,S,E,
53100.04,"Curatorial assistants, museum extension officers, museology technicians and museum registrars and cataloguers",R,C,I
53100.05,Taxidermists,R,A,c
53110.0,Photographers,A,R,i
53111.01,Camera crane operators,R,C,I
53111.02,Motion picture projectionists,R,C,I
53111.03,Props persons and set builders,R,C,a
53111.04,Scripts assistants,C,e,r
53111.05,Grips and riggers,R,C,
53111.06,Dressers,R,s,
53111.07,Production assistants,C,R,i
53120.01,Dancers,A,R,
53120.02,Dance teachers,S,A,E
53121.01,Actors and comedians,A,E,
53121.02,Acting teachers,S,A,
53121.03,Circus and other performers,A,E,r
53122.01,Painters,A,R,i
53122.02,Sculptors,A,R,i
53122.03,Art instructors and teachers,A,S,R
53123.01,Theatre designers,A,R,E
53123.02,Fashion designers,A,E,R
53123.03,Exhibit designers,A,R,e
53124.01,Carvers,A,R,
53124.02,Glass blowers,R,A,
53124.03,Metal art workers,R,A,
53124.04,Potters,R,A,
53124.05,Stained glass artists,A,R,
53124.06,Instrument makers,R,A,i
53124.07,Weavers,R,A,
53124.08,Craft instructors,S,A,E
53124.09,Artistic floral arrangers,A,R,e
53125.0,"Patternmakers - textile, leather and fur products",R,A,C
53200.0,Athletes,R,e,
53201.01,Coaches,S,E,I
53201.02,Sports scouts,E,I,S
53202.0,Sports officials and referees,E,C,S
54100.01,Program leaders and instructors in recreation and sport,S,E,C
54100.02,Fitness appraisers,S,I,c
55109.01,Buskers,A,E,R
55109.02,Magicians and illusionists,A,R,e
55109.03,Fashion Models,A,E,
55109.04,Influencers,E,a,
60010.0,Corporate sales managers,E,C,I
60020.0,Retail and wholesale trade managers,E,C,I
60030.0,Restaurant and food service managers,E,C,I
60031.0,Accommodation service managers,E,C,I
60040.0,Managers in customer and personal services,E,C,I
62010.0,Retail sales supervisors,E,C,S
62020.0,Food service supervisors,E,C,S
62021.0,Executive housekeepers,E,C,R
62022.0,"Accommodation, travel, tourism and related services supervisors",E,C,S
62023.01,Customer service representatives supervisors - financial services,E,C,S
62023.02,Customer service representatives supervisors (except financial services),E,C,S
62024.0,Cleaning supervisors,E,C,S
62029.0,Other services supervisors,E,C,S
62100.0,Technical sales specialists - wholesale trade,E,C,I
62101.0,Retail and wholesale buyers,E,C,I
62200.01,Head Chefs,E,R,A
62200.02,Sous-Chefs,E,R,A
62200.03,Specialist chefs,E,R,A
62201.01,Funeral directors,E,C,s
62201.02,Embalmers,R,C,A
62202.01,Jewellers and related workers,R,A,C
62202.02,Watch repairers,R,C,I
63100.0,Insurance agents and brokers,E,C,S
63101.0,Real estate agents and salespersons,E,C,I
63102.0,Financial sales representatives,E,C,S
63200.0,Cooks,R,C,E
63201.0,Butchers - retail and wholesale,R,C,e
63202.0,Bakers,R,C,e
63210.01,Hairstylists,A,E,S
63210.02,Barbers,R,E,S
63211.01,Estheticians,S,R,E
63211.02,Cosmeticians,S,R,A
63211.03,Electrologists,S,R,E
63211.04,Manicurists and pedicurist,R,E,A
63211.05,Scalp treatment specialists,R,E,S
63211.06,Tattoo artists,A,R,E
63211.07,Hair replacement technicians (non-medical),R,S,A
63220.01,Shoemakers,R,C,A
63220.02,Shoe repairers,R,C,E
63221.0,Upholsterers,R,C,E
64100.01,Retail salespersons,E,C,s
64100.02,Visual merchandisers,A,E,R
64101.0,Sales and account representatives - wholesale trade (non-technical),E,C,s
64200.01,"Tailors, Dressmakers and Alterationists",R,A,E
64200.02,Furriers,R,A,E
64200.03,Milliners,R,A,E
64201.01,Image consultants,S,A,E
64201.02,Wedding consultants,E,S,A
64201.03,Weight loss consultants,S,E,C
64300.0,Maîtres d'hôtel and hosts/hostesses,E,S,c
64301.0,Bartenders,E,R,S
64310.0,Travel counsellors,E,S,C
64311.01,Flight attendants,E,S,C
64311.02,"Flight pursers, customer service directors and passenger service directors",E,C,s
64311.03,Ship pursers,E,C,s
64312.01,"Airline passenger, baggage and ticket agents",C,E,s
64312.02,Airline cargo and freight agents,C,E,R
64312.03,Airline reservation agents,C,E,s
64313.01,Ticket agents and related clerks (except airline),C,E,s
64313.02,Cargo service representatives (except airline),C,E,s
64314.0,Hotel front desk clerks,C,E,s
64320.01,Tour guides,S,E,c
64320.02,Travel guides,E,C,s
64321.0,Casino workers,C,E,r
64322.0,Outdoor sport and recreational guides,S,E,R
64400.0,Customer services representatives - financial institutions,C,E,S
64401.0,Postal services representatives,C,R,S
64409.0,Other customer and information services representatives,E,C,S
64410.01,Security guards,R,C,E
64410.02,Armoured car guards,R,C,E
64410.03,Corporate security officers,R,C,E
64410.04,Private investigators,E,C,R
64410.05,Retail loss prevention officers,E,C,I
65100.0,Cashiers,C,E,R
65101.0,Automotive and watercraft service station attendants,R,C,e
65102.0,"Store shelf stockers, clerks and order fillers",C,R,e
65109.01,Demonstrators and direct distributors,E,C,
65109.02,Door-to-door salespersons and street vendors,E,C,
65109.03,Telephone solicitors and telemarketers,E,C,
65200.0,Food and beverage servers,S,E,C
65201.01,Food counter attendants and food preparers,R,C,S
65201.02,Kitchen helpers,R,C,
65201.03,Food service helpers,R,C,S
65201.04,Dishwashers,R,c,
65202.0,Meat cutters and fishmongers - retail and wholesale,R,C,e
65210.01,Guest service attendants and baggage porters,R,C,e
65210.02,Ship and train service attendants,R,S,E
65210.03,Facilities workers,R,c,
65211.01,Amusement attraction operators,E,R,C
65211.02,"Attendants in amusement, recreation and sport",E,R,C
